Imiê	Nazwisko	P³eæ	Gimnazjum	Egz. hum.	Egz. Mat.	Egz. jêz.	Przyjêty do klasy	Pierwszy jêzyk
Sandra	Kruk	K	VIII	1	41	8	1A	niemiecki
Katarzyna	Domaga³a	K	II	43	11	17	1F	rosyjski
Rafa³	Piasecki	M	III	1	34	34	1E	rosyjski
Piotr	Wierzbicki	M	X	46	36	16	1F	rosyjski
Jaros³aw	Karpiñski	M	X	17	40	24	1D	angielski
Mariusz	Jastrzêbski	M	II	8	7	2	1D	rosyjski
Kamila	Polak	K	I	7	38	37	1F	angielski
Ma³gorzata	Ignaczak	K	X	49	25	5	1A	francuski
Dominika	Franc	K	VI	19	34	29	1B	angielski
Mariusz	Ignaczewski	M	II	22	36	1	1A	francuski
Joanna	Erazmus	K	VII	42	21	34	1E	francuski
Anna	Ignaczuk	K	IV	0	40	17	1D	francuski
Marcin	Ignaczyñski	M	X	29	26	12	1F	niemiecki
Joanna	Ignaczyk	K	VIII	28	11	22	1B	angielski
Aneta	Erat	K	VIII	5	23	20	1F	angielski
Karolina	Henrysiak	K	X	42	47	41	1E	angielski
Robert	Henryszewski	M	II	28	27	18	1A	angielski
Damian	Ignaczek	M	V	29	8	16	1E	angielski
Adrian	Eratowski	M	VIII	22	40	23	1D	niemiecki
Monika	Ignaczko	K	III	17	11	40	1D	niemiecki
Monika	Erad	K	X	21	28	5	1D	niemiecki
Marlena	Erazim	K	VIII	44	38	47	1A	francuski
